"Date","pm2.5"
1988-01-01,3.1
1988-01-02,3
1988-01-03,8.6
1988-01-04,8.86666666666667
1988-01-05,2.8
1988-01-06,3.4
1988-01-07,4.6
1988-01-08,3.9
1988-01-09,2.8
1988-01-10,6
1988-01-11,0
1988-01-12,1.4
1988-01-13,4
1988-01-14,8.1
1988-01-15,7.7
1988-01-16,9.93333333333333
1988-01-17,2.6
1988-01-18,3.5
1988-01-19,9.8
1988-01-20,8.5
1988-01-21,6.4
1988-01-22,11.0333333333333
1988-01-23,6.8
1988-01-24,3.2
1988-01-25,4.7
1988-01-26,4.7
1988-01-27,14.4
1988-01-28,9.26666666666667
1988-01-29,6.8
1988-01-30,4.3
1988-01-31,9
1988-02-01,10.7
1988-02-02,3.1
1988-02-03,4.43333333333333
1988-02-04,4.5
1988-02-05,1.1
1988-02-06,4.4
1988-02-07,4.5
1988-02-08,9.3
1988-02-09,10.2666666666667
1988-02-10,7.4
1988-02-11,13
1988-02-12,7.9
1988-02-13,7.2
1988-02-14,10.7
1988-02-15,9.5
1988-02-16,6.3
1988-02-17,11.1
1988-02-18,7.3
1988-02-19,6.6
1988-02-20,4
1988-02-21,6.43333333333333
1988-02-22,7.9
1988-02-23,7.9
1988-02-24,8
1988-02-25,9.1
1988-02-26,2.7
1988-02-27,3.1
1988-02-28,8.7
1988-02-29,4.8
1988-03-01,6.4
1988-03-02,6.8
1988-03-03,6
1988-03-04,3.1
1988-03-05,3.3
1988-03-06,2.2
1988-03-07,1.5
1988-03-08,4.5
1988-03-09,6.1
1988-03-10,5.16666666666667
1988-03-11,6.7
1988-03-12,6.6
1988-03-13,3.3
1988-03-14,4.7
1988-03-15,3.1
1988-03-16,5.6
1988-03-17,7.6
1988-03-18,6.5
1988-03-19,4.1
1988-03-20,2
1988-03-21,4.8
1988-03-22,6.1
1988-03-23,7
1988-03-24,7.5
1988-03-25,7.3
1988-03-26,7.4
1988-03-27,4.1
1988-03-28,5.7
1988-03-29,1.5
1988-03-30,0.4
1988-03-31,3.1
1988-04-01,2.1
1988-04-02,2.9
1988-04-03,5.6
1988-04-04,7
1988-04-05,4
1988-04-06,NA
1988-04-07,NA
1988-04-08,NA
1988-04-09,NA
1988-04-10,NA
1988-04-11,NA
1988-04-12,NA
1988-04-13,NA
1988-04-14,NA
1988-04-15,NA
1988-04-16,NA
1988-04-17,NA
1988-04-18,NA
1988-04-19,NA
1988-04-20,NA
1988-04-21,NA
1988-04-22,NA
1988-04-23,NA
1988-04-24,NA
1988-04-25,NA
1988-04-26,NA
1988-04-27,NA
1988-04-28,NA
1988-04-29,NA
1988-04-30,NA
1988-05-01,NA
1988-05-02,NA
1988-05-03,NA
1988-05-04,NA
1988-05-05,NA
1988-05-06,NA
1988-05-07,NA
1988-05-08,NA
1988-05-09,NA
1988-05-10,NA
1988-05-11,NA
1988-05-12,2.6
1988-05-13,3.3
1988-05-14,4.5
1988-05-15,4
1988-05-16,2.1
1988-05-17,5.9
1988-05-18,2.5
1988-05-19,1.3
1988-05-20,2.5
1988-05-21,1.3
1988-05-22,0.8
1988-05-23,4.6
1988-05-24,4.7
1988-05-25,4.6
1988-05-26,3.9
